idx,Question,Answer,Labels
0,What are the common symptoms of Canine Parvovirus?,"Symptoms include lethargy, severe vomiting, loss of appetite, and bloody diarrhea.","VetHealthAssessment,CanineDisease,SymptomAssessment"
1,How is the effectiveness of the Parvovirus vaccine assessed?,Effectiveness is assessed through clinical trials by measuring the incidence of the disease in vaccinated vs. unvaccinated populations.,"VetHealthAssessment,VaccineEffectiveness,ClinicalTrial"
2,What diagnostic tests are performed for Feline Leukemia?,"Diagnostic tests include a combination of blood tests (e.g., ELISA), blood smears, and bone marrow biopsies.","VetHealthAssessment,DiagnosticData,FelineDisease"
3,What are the common treatment protocols for Equine Influenza?,"Treatment typically involves rest, anti-inflammatory drugs, and supportive care such as fluid therapy and nasal oxygen.","VetHealthAssessment,EquineDisease,TreatmentProtocol"
4,How are patient outcomes measured in veterinary clinical trials?,"Patient outcomes are measured by tracking the recovery time, complication rates, and overall survival rates.","VetHealthAssessment,ClinicalTrial,OutcomeMeasurement"
5,What symptoms might indicate a dog has contracted Heartworm Disease?,"Symptoms can include a persistent cough, fatigue, reduced appetite, and in advanced stages, difficulty breathing and fainting.","VetHealthAssessment,CanineDisease,SymptomAssessment"
6,What is the primary endpoint in vaccine efficacy studies for canines?,The primary endpoint often includes the incidence rate of the targeted disease in the vaccinated group compared to a control group.,"VetHealthAssessment,VaccineEffectiveness,ClinicalTrial"
7,What is the initial step in diagnosing Feline Infectious Peritonitis (FIP)?,"The initial step often includes a thorough history and physical examination, followed by specific blood tests and abdominal ultrasound.","VetHealthAssessment,DiagnosticData,FelineDisease"
8,What are the standard treatment protocols for Equine Recurrent Uveitis?,"Standard treatment protocols for Equine Recurrent Uveitis include topical and systemic corticosteroids, cycloplegic agents, and pain management.","VetHealthAssessment,EquineDisease,TreatmentProtocol"
9,What is the primary endpoint in a clinical trial for osteoarthritis in dogs?,"The primary endpoint is often the improvement in mobility, measured by the Canine Brief Pain Inventory.","VetHealthAssessment,ClinicalTrial,OutcomeMeasurement"
